$10 Mins	10 minut
$dmg	Poškození
$DONE	HOTOVO
$dr	Odoln. v. ZRA
$DROP	ZAHODIT
$Drop:	Zahodit:
$Easy	Jednoduchá
$Edit	Upravit
$Effects	Efekty
$ENDURANCE	ODOLNOST
$ENLARGE	ZVĚTŠIT
$ENTER	VSTOUPIT
$Enter name.	Zvolte jméno.
$EQUIP	VYBAVIT
$Execute	SPUSTIT:
$Execute Critical	PROVÉST KRITICKÝ ÚTOK
$Exit	Ukončit
$EXIT	UKONČIT
$EXIT AND CANCEL	UKONČIT A ZRUŠIT
$EXTRAS	EXTRA
$EYE COLOR	BARVA OČÍ
$FACE	OBLIČEJ
$FACEPAINT	BARVA NA OBLIČEJI
$FACIAL HAIR	VOUSY
$FAST	RYCHLÁ
$FastTravel	Rychlé cestování
$FastTravelUndiscovered	Zatím jsi tuto lokaci neobjevil. Chceš umístit značku?
$FAV	OBL
$FAVORITE	OBLÍBENÉ
$Favorites	Oblíbené
$FOOD	JÍDLO
$Footsteps	Kroky
$Forward	Dopředu
$FRECKLES	PIHY
$GAMEPLAY	HRA
$Gameplay	Hra
$General	Obecné
$General Subtitles	Obecné titulky
$Go	Jdi
$Grass Fade	Mizení trávy
$Grid View	PŘEHLED PERKŮ
$HAIR		VLASY
$HAIR COLOR	BARVA VLASŮ
$HAPPINESS	SPOKOJENOST
$HAPPY	SPOKOJENOST
$Hard	Obtížná
$health	Zdraví
$HELP	NÁPOVĚDA
$HIDE EFFECTS	SKRÝT EFEKTY
$HideCaravans	SKRÝT ZÁSOBOVACÍ CESTY
$HideQuestSummary	SKRÝT SOUHRN
$Hold Breath	Zadržet dech
$HOLD UP	Počkej
$HolotapePlay	PŘEHRÁT
$HolotapeStop	ZASTAVIT
$HOUR	HODINA
$hour.	hodinu.
$HOURS	HODIN
$hours.	hodin(y).
$HP	BZ
$HUD	HUD
$HUD Opacity	Průhlednost HUD
$HUDColorB	Barva HUD - mod.
$HUDColorG	Barva HUD - zel.
$HUDColorR	Barva HUD - čer.
$IN/OUT	Vstup / Výstup
$INGREDIENTS	INGREDIENCE
$INSPECT	PROZKOUMAT
$INTELLIGENCE	INTELIGENCE
$INV	INV
$INVENTORY	INVENTÁŘ
$InventoryCategoryAid	POMOC
$InventoryCategoryAidMine	MOJE POMOC
$InventoryCategoryAmmo	MUNICE
$InventoryCategoryAmmoMine	MOJE MUNICE
$InventoryCategoryApparel	VÝSTROJ
$InventoryCategoryApparelMine	MOJE VÝSTROJ
$InventoryCategoryJunk	VETEŠ
$InventoryCategoryJunkMine	MOJE VETEŠ
$InventoryCategoryMisc	RŮZNÉ
$InventoryCategoryMiscMine	MOJE RŮZNÉ
$InventoryCategoryMods	MODIFIKACE
$InventoryCategoryModsMine	MOJE MODIFIKACE
$InventoryCategoryWeapons	ZBRANĚ
$InventoryCategoryWeaponsMine	MOJE ZBRANĚ
$INVENTORYMine	MŮJ INVENTÁŘ
$Invert Y	Převrátit osu Y
$INVEST	INVESTOVAT
$Item Fade	Mizení předmětů
$ITEM VIEW	ZOBRAZENÍ PŘEDMĚTŮ
$ItemInfo_AR	ODZ
$ItemInfo_CND	KON
$ItemInfo_DMG	POŠ
$ItemInfo_Stolen	UKRADENO
$ItemInfo_VAL	HOD
$ItemInfo_WT	HM
$ITEMS:	PŘEDMĚTY:
$Jump	Skákání
$JUMP	SKOK
$JUNK JET	VETEŠKVÉR
$LAND	PŘISTÁT
$LARGE	VELKÝ
$LeaveMinigame	Quit game?
$LEVEL	ÚROVEŇ
$Level #	Úroveň #
$LEVEL UP	NOVÁ ÚROVEŇ
$LEVELUP	NOVÁ ÚROVEŇ
$Light Fade	Mizení světel
$List View	SEZNAM
$LOAD	NAČÍST
$Load this game? All unsaved progress will be lost.	Načíst tuto hru? Přijdeš o veškerý neuložený postup.
$Local Map	MÍSTNÍ MAPA
$LocationCleared	[VYČIŠTĚNO]
$Lock	Zámek
$LockedContainer	[ZAMČENO]
$Lockpicks Left	Zbývající vlásenky
$Log	Deník
$LOG	STAT.
$LOOK	PODÍVAT
$Look Sensitivity	Citlivost rozhlížení
$LUCK	ŠTĚSTÍ
$Main Menu	Hlavní nabídka
$MAIN MENU	HLAVNÍ NABÍDKA
$Make	Vyrobit:
$MAKE	VYROBIT
$MAP	MAPA
$Master	Celková
$MEDIUM	STŘEDNÍ
$Melee	Úder / Silný útok / Granát
$MOD SLOTS	SLOTY PRO MODIFIKACE
$MODIFY	MODIFIKOVAT
$More...	Více...
$Mouse Move	Pohyb myši
$MOVE	POHYB
$Move	Pohyb
$MoveMarker	Přesunout
$MoveMarkerQuestion	Učitě chceš svou značku přesunout nebo odstranit?
$MUSCULAR	SVALNATÁ
$Music	Hudba
$My Perks	MOJE PERKS
$Name:	Jméno:
$NavigateObjectives	VYBER CÍL
$NEW	NOVÁ HRA
$New Perks	VŠECHNY PERKS
$NEXT	DALŠÍ
$NEXT PERK	DALŠÍ ÚROVEŇ
$No	Ne
$NO	NE
$NoDeviceSelected	Není vybráno úložné zařízení. Musíš nějaké vybrat, než budeš moct hru uložit. Do té doby je automatické ukládání vypnuto.
$None	Žádný
$NONE	ŽÁDNÝ
$NoProfileSelected	Nejsi přihlášen k hráčskému profilu. Budeš se muset přihlásit k hráčskému profilu, abys mohl ukládat svůj postup. Chceš se teď přihlásit?
$Normal	Normální
$Object Fade	Mizení objektů
$OFF	VYP.
$OK	POTVRDIT
$ON	ZAP.
$OVERALL	Celkem
$Overwrite?	Přepsat?
$PART	ČÁST
$Pause	Pozastavení hry
$PEOPLE	LIDÉ
$PERCEPTION	VNÍMÁNÍ
$Perk_NextRankAvailable	DALŠÍ ÚROVEŇ JE DOSTUPNÁ!
$PerksLowReqs	Požadavky nejsou splněny.
$Pipboy	Pip-Boy
$PIPBOY	PIP-BOY
$PipboyColorB	Barva Pip-Boy - mod.
$PipboyColorG	Barva Pip-Boy - zel.
$PipboyColorR	Barva Pip-Boy - čer.
$PipboyConditionCategory	STAV
$PipboyPerksCategory	PERKY
$PipboySPECIALCategory	S.P.E.C.I.A.L.
$PLACE	UMÍSTIT
$Place	Umístit
$PlaceMarker	Umístit značku
$PLAY	PŘEHRÁT
$PlayerSetMarkerName	Vlastní značka
$POCKS	VYRÁŽKA
$POINT AVAILABLE	DOSTUPNÝ BOD
$POINTS AVAILABLE	DOSTUPNÉ BODY
$POSITION	POZICE
$POWER	ENERGIE
$PowerArmorMarkerName	Energozbroj
$PREPARE	PŘIPRAVIT
$PRESETS	PŘEDNASTAVENÍ
$Press a button to map to this action.	Stiskni tlačítko, které chceš k této akci přiřadit.
$Press any button to start	Stiskni libovolnou klávesu pro spuštění
$PREV	PŘEDCHOZÍ
$PREV PERK	PŘEDCHOZÍ ÚROVEŇ
$PrimaryAttack	Útok
$PRODUCES	PRODUKUJE:
$QUANTITY	MNOŽSTVÍ
$Quantity:	Množství:
$Quest	Úkol
$QUESTS	ÚKOLY
$Quick Inventory	Inventář
$Quick Magic	Magie
$Quick Map	Mapa
$Quick Stats	Stav
$QuickContainerTransfer	PŘESUNOUT
$QuickData	Údaje
$QuickInventory	Inventář
$Quickkeys	Oblíbené
$Quickload	Rychlé načtení
$QuickMap	Mapa
$QuickRadio	Rádio
$Quicksave	Rychlé uložení
$QUICKSAVE	RYCHLÉ ULOŽENÍ
$Quicksaving...	Rychlé ukládám...
$QuickStats	Stav
$Quit	Konec
$QUIT	KONEC
$Quit to desktop?	Odejít na plochu?
$Quit to desktop?  Any unsaved progress will be lost.	Odejít na plochu?  Veškerý neuložený postup bude ztracen.
$Quit to main menu?  Any unsaved progress will be lost.	Odejít do hlavní nabídky?  Veškerý neuložený postup bude ztracen.
$Radaway	RADAWAY
$Radio	Rádio
$RADIO	RÁDIO
$RadioOff	VYPNOUT RÁDIO
$RADS	RAD.
$RANDOM	NÁHODNĚ
$Randomize	Zamíchat
$Rank:	Úroveň:
$READ		ČÍST
$ReadyWeapon	Tasit / Přebít
$RECIPES	NÁVODY
$REGISTRATION FORM	REGISTRAČNÍ FORMULÁŘ
$REMOVE	ODSTRANIT
$REMOVE ALL	ODSTRANIT VŠE
$RemoveMarker	Odstranit značku
$RENAME	PŘEJMENOVAT
$Repair	Opravit
$REPAIR	OPRAVIT
$REPAIR WITH	OPRAVIT S POUŽITÍM
$RepairConfirm	Opravit s použitím:
$Req:	Pož.: úroveň
$REQUIRES	POŽADUJE
$REQUIRES:	POŽADUJE:
$Reset	Resetovat
$RESET	RESETOVAT
$Reset settings to default values?	Vrátit nastavení na výchozí hodnoty?
$RESETTRADE	ZRUŠIT OBCHOD
$RESUME	POKRAČOVAT
$RETURN	ZPĚT
$rng	Dostřel
$ROF	Kadence
$ROTATE	OTOČIT
$Rotate Lock	Otočit zámek
$Rotate Pick	Otočit vlásenku
$Run	Běh
$SAFETY	OBRANA
$Sanctuary	Sanctuary
$SANCTUARY	DÍLNY
$SAVE	ULOŽIT
$SAVE CORRUPT	ULOŽENÁ POZICE JE POŠKOZENA
$Save in Pipboy	Ukládání v Pip-Boyovi
$SAVE OBSOLETE	ULOŽENÁ POZICE JE ZASTARALÁ
$Save on Rest	Ukládání při odpočinku
$Save on Travel	Ukládání při cestování
$Save on Wait	Ukládání při čekání
$Save over this game?	Chceš přepsat tuto herní pozici?
$SaveGameDeviceError	Nastala chyba při přístupu na úložné zařízení.  Prosím zkus znovu.
$SaveGameOutOfDiskSpace	Na úložném zařízení není dostatek místa pro uložní tvého postupu. Prosím smaž některé stávající uložené hry.
$Saving...	Ukládám...
$SCALE	VELIKOST
$SCAR	JIZVA
$Scrap	Sešrotovat
$SCRAP	SEŠROTOVAT
$SCULPT	TVAROVAT
$SecondaryAttack	Míření / Blokování
$Select	ZVOLIT
$SELECT	ZVOLIT
$SELECT CHARACTER	Vybrat postavu
$SelectL	Zvolit
$SELL	PRODAT
$SettingDifficultyGuideText	Otížnost má vliv na poškození a šanci potkat legendární nepřátele. Úroveň přežití také výrazně snižuje rychlost léčení.
$Settings	Nastavení
$SETTINGS	NASTAVENÍ
$Settings: Audio	Nastavení: Zvuk
$Settings: Display	Nastavení: Obraz
$Settings: Gameplay	Nastavení: Hra
$SEX	POHLAVÍ
$Shadow Distance	Mizení stínů
$Show All Saves	Zobrazit všechny uložené pozice
$SHOW EFFECTS	ZOBRAZIT EFEKTY
$Show Floating Markers	Zobrazit ikony
$Show on Map	UKÁZAT NA MAPĚ
$ShowCaravans	UKÁZAT ZÁSOBOVACÍ CESTY
$ShowQuestSummary	ZOBRAZIT PŘEHLED
$SHRINK	ZMENŠIT
$Sit	Sednout
$SIZE	VELIKOST
$SKIN TONE	BARVA KŮŽE
$SKIP	PŘESKOČIT
$SleepPrompt	Spát
$SLOW	POMALU
$Sneak	Plížit se
$SORT	SEŘADIT
$SORT_ACC	SEŘADIT (PŘE)
$SORT_DMG	SEŘADIT (POŠ)
$SORT_RNG	SEŘADIT (DOS)
$SORT_ROF	SEŘADIT (KAD)
$SORT_VAL	SEŘADIT (HOD)
$SORT_WT	SEŘADIT (HM)
$SPACEBAR)	MEZERNÍK)
$SpecialConfirmResetPoints	Zrušit přidělene body a začít odznovu?
$SpecialIntroText	Pověz nám něco o sobě! Vault-Tec potřebuje vědět, jaký jsi občan, aby mohl zajistit tvou budoucí spokojenost.
$SpecialNameCharacter	Jméno obsahuje nepovolené znaky.
$SpecialNameEmpty	Pro pokračování musíš pojmenovat svoji postavu.
$SpecialPointsRemaining	Pro pokračování musíš použít všechny body.
$Specularity Fade	Mizení odlesků
$speed	Rychlost
$SPLOTCHY	SKVRNY
$Sprint	Sprint
$STAT	STAT.
$STATS	STATISTIKY
$STEAL	UKRÁST
$Stimpak	STIMPAK
$STORE	ODLOŽIT
$StoreAllJunk	ODLOŽIT VŠECHNU VETEŠ
$StrafeLeft	Úkrok vlevo
$StrafeRight	Úkrok vpravo
$StreamInstallCaption	Instaluji
$STRENGTH	SÍLA
$STYLE	STYL
$SUBJPrepend	VĚC:
$SUBTRACT	ODEČÍST
$Super Stimpak	Super Stimpak
$Survival	Přežití
$SWITCH	PŘEPNOUT
$SYRINGER	SYRINGER
$TAG FOR SEARCH	OZNAČIT PRO HLEDÁNÍ
$TAKE	VZÍT
$TAKE ALL	VZÍT VŠE
$TALK	PROMLUVIT
$That button is reserved.	Toto tlačítko je již obsazeno.
$THIN	TENKÝ
$TO PLACE	POLOŽIT
$TO STEAL	UKRÁST
$Toggle Edit	Mód editace
$Toggle Edit2	Mód umístění
$ToggleActive	Sledovat úkol
$ToggleAlwaysRun	Zapnout běhání
$TogglePOV	Pohled první osoby / Dílenský mód
$TOTAL COST	CELKOVÁ CENA
$TRADE	OBCHODOVAT
$TransferContainerLabel	ÚLOŽIŠTĚ
$TransferPlayerLabel	HRÁČ
$TuneToStation	NALADIT STANICI
$TYPE	TYP
$UNEQUIP	ODLOŽIT
$UNLOAD	VYJMOUT
$UNLOAD ALL	VYJMOUT VŠE
$val	Hodnota
$Variant	Varianta
$VATS	VATS
$VDSGPrepend	VDSG katalogové č.
$VendorCapsTooLow	Obchodník nemá dostatek zátek. Přesto přijmout obchod??
$Very Easy	Velmi jednoduchá
$VERY FAST	V. RYCHLE
$Very Hard	Velmi těžká
$VERY SLOW	V. POMALU
$Vibration	Vibrace
$Voice	Hlas
$Wait	ČEKEJ
$WaitPrompt	Čekej
$WATER	VODA
$WNPC_Caravan	ZÁSOBOVACÍ CESTA
$WNPC_Caravan_Header	Vybeer lokaci:
$WNPC_Command	PŘÍKAZ
$WNPC_Move	PŘESUN
$WORKSHOP	DÍLNA
$World Map	MAPA SVĚTA
$WS_Beds	Postele
$WS_Food	Jídlo
$WS_Happy	Spokojenost
$WS_People	Populace
$WS_Power	Energie
$WS_Safety	Obrana
$WS_Water	Voda
$wt	Hmostnost
$Yes	Ano
$YES	ANO
$YOU'VE_REACHED_LEVEL	Dosáhl jsi úrovně:
$ZOOM IN	PŘIBLÍŽIT
$ZOOM OUT	ODDÁLIT
